# ra dec snr
1.611735792798017997e+02 -5.847599490337842099e+01 2.666112632526044735e+01
1.611735792798017997e+02 -5.847599490337842099e+01 2.666112632526044735e+01
1.611735792798017997e+02 -5.847599490337842099e+01 2.666112632526044735e+01
1.611735792798017997e+02 -5.847599490337842099e+01 2.666112632526044735e+01
1.611735792798017997e+02 -5.847599490337842099e+01 2.666112632526044735e+01
1.880823230401540798e+02 -6.040931625178040321e+01 4.977409473230358685e+02
1.880823230401540798e+02 -6.040931625178040321e+01 4.977409473230358685e+02
1.880823230401540798e+02 -6.040931625178040321e+01 4.977409473230358685e+02
1.880823230401540798e+02 -6.040931625178040321e+01 4.977409473230358685e+02
1.880823230401540798e+02 -6.040931625178040321e+01 4.977409473230358685e+02
8.379017589307332514e+01 -6.744702876181422369e+01 5.848242172358125934e+00
8.379017589307332514e+01 -6.744702876181422369e+01 5.848242172358125934e+00
8.379017589307332514e+01 -6.744702876181422369e+01 5.848242172358125934e+00
8.379017589307332514e+01 -6.744702876181422369e+01 5.848242172358125934e+00
8.379017589307332514e+01 -6.744702876181422369e+01 5.848242172358125934e+00
1.125914800694058187e+02 -2.697225397368697841e+01 1.748990178173721119e+02
1.125914800694058187e+02 -2.697225397368697841e+01 1.748990178173721119e+02
1.125914800694058187e+02 -2.697225397368697841e+01 1.748990178173721119e+02
1.125914800694058187e+02 -2.697225397368697841e+01 1.748990178173721119e+02
1.125914800694058187e+02 -2.697225397368697841e+01 1.748990178173721119e+02
8.168887230365288588e+01 -6.624829970914738908e+01 6.097383251672719773e+00
8.168887230365288588e+01 -6.624829970914738908e+01 6.097383251672719773e+00
8.168887230365288588e+01 -6.624829970914738908e+01 6.097383251672719773e+00
8.168887230365288588e+01 -6.624829970914738908e+01 6.097383251672719773e+00
8.168887230365288588e+01 -6.624829970914738908e+01 6.097383251672719773e+00
2.578577671893270349e+02 -4.014950689181881671e+01 2.898735735657309220e+01
2.578577671893270349e+02 -4.014950689181881671e+01 2.898735735657309220e+01
2.578577671893270349e+02 -4.014950689181881671e+01 2.898735735657309220e+01
2.578577671893270349e+02 -4.014950689181881671e+01 2.898735735657309220e+01
2.578577671893270349e+02 -4.014950689181881671e+01 2.898735735657309220e+01
2.687831605309580141e+02 -2.444132107967556777e+01 1.522337084256924555e+01
2.687831605309580141e+02 -2.444132107967556777e+01 1.522337084256924555e+01
2.687831605309580141e+02 -2.444132107967556777e+01 1.522337084256924555e+01
2.687831605309580141e+02 -2.444132107967556777e+01 1.522337084256924555e+01
2.687831605309580141e+02 -2.444132107967556777e+01 1.522337084256924555e+01
7.936892757077937688e+01 -6.943157857246443143e+01 7.281508321122705851e+00
7.936892757077937688e+01 -6.943157857246443143e+01 7.281508321122705851e+00
7.936892757077937688e+01 -6.943157857246443143e+01 7.281508321122705851e+00
7.936892757077937688e+01 -6.943157857246443143e+01 7.281508321122705851e+00
7.936892757077937688e+01 -6.943157857246443143e+01 7.281508321122705851e+00
1.578649282957252638e+02 -6.042354998498940688e+01 1.037489864023138040e+02
1.578649282957252638e+02 -6.042354998498940688e+01 1.037489864023138040e+02
1.578649282957252638e+02 -6.042354998498940688e+01 1.037489864023138040e+02
1.578649282957252638e+02 -6.042354998498940688e+01 1.037489864023138040e+02
1.578649282957252638e+02 -6.042354998498940688e+01 1.037489864023138040e+02
2.895491950576380873e+02 9.674339406080923354e+00 9.592039265368430279e+01
2.895491950576380873e+02 9.674339406080923354e+00 9.592039265368430279e+01
2.895491950576380873e+02 9.674339406080923354e+00 9.592039265368430279e+01
2.895491950576380873e+02 9.674339406080923354e+00 9.592039265368430279e+01
2.895491950576380873e+02 9.674339406080923354e+00 9.592039265368430279e+01
1.855848128367175889e+02 -6.446887622884652558e+01 2.636264200002890234e+01
1.855848128367175889e+02 -6.446887622884652558e+01 2.636264200002890234e+01
1.855848128367175889e+02 -6.446887622884652558e+01 2.636264200002890234e+01
1.855848128367175889e+02 -6.446887622884652558e+01 2.636264200002890234e+01
1.855848128367175889e+02 -6.446887622884652558e+01 2.636264200002890234e+01
9.707060938824515972e+01 1.964004850700028504e+00 1.713324870457031182e+02
9.707060938824515972e+01 1.964004850700028504e+00 1.713324870457031182e+02
9.707060938824515972e+01 1.964004850700028504e+00 1.713324870457031182e+02
9.707060938824515972e+01 1.964004850700028504e+00 1.713324870457031182e+02
9.707060938824515972e+01 1.964004850700028504e+00 1.713324870457031182e+02
2.853089626027162922e+02 4.513266578732546996e+00 2.758242275324893455e+01
2.853089626027162922e+02 4.513266578732546996e+00 2.758242275324893455e+01
2.853089626027162922e+02 4.513266578732546996e+00 2.758242275324893455e+01
2.853089626027162922e+02 4.513266578732546996e+00 2.758242275324893455e+01
2.853089626027162922e+02 4.513266578732546996e+00 2.758242275324893455e+01
2.841751779378960236e+02 2.901891668284762194e+00 6.523584273626600805e+01
2.841751779378960236e+02 2.901891668284762194e+00 6.523584273626600805e+01
2.841751779378960236e+02 2.901891668284762194e+00 6.523584273626600805e+01
2.841751779378960236e+02 2.901891668284762194e+00 6.523584273626600805e+01
2.841751779378960236e+02 2.901891668284762194e+00 6.523584273626600805e+01
2.656253204954396097e+02 -3.050490872590395242e+01 4.372523897750151889e+01
2.656253204954396097e+02 -3.050490872590395242e+01 4.372523897750151889e+01
2.656253204954396097e+02 -3.050490872590395242e+01 4.372523897750151889e+01
2.656253204954396097e+02 -3.050490872590395242e+01 4.372523897750151889e+01
2.656253204954396097e+02 -3.050490872590395242e+01 4.372523897750151889e+01
2.227830266917553104e+02 -5.840084884710793744e+01 3.761946837442933855e+01
2.227830266917553104e+02 -5.840084884710793744e+01 3.761946837442933855e+01
2.227830266917553104e+02 -5.840084884710793744e+01 3.761946837442933855e+01
