# ra dec snr
8.066973459863447715e+01 -6.569068432532844781e+01 8.636033029931885707e+00
8.066973459863447715e+01 -6.569068432532844781e+01 8.636033029931885707e+00
8.066973459863447715e+01 -6.569068432532844781e+01 8.636033029931885707e+00
8.066973459863447715e+01 -6.569068432532844781e+01 8.636033029931885707e+00
8.066973459863447715e+01 -6.569068432532844781e+01 8.636033029931885707e+00
1.104792807932991252e+02 -6.048050040510475789e+00 1.032327374219804739e+02
1.104792807932991252e+02 -6.048050040510475789e+00 1.032327374219804739e+02
1.104792807932991252e+02 -6.048050040510475789e+00 1.032327374219804739e+02
1.104792807932991252e+02 -6.048050040510475789e+00 1.032327374219804739e+02
1.104792807932991252e+02 -6.048050040510475789e+00 1.032327374219804739e+02
2.680346469546032040e+02 -3.005502689184169895e+01 1.194461708605498096e+01
2.680346469546032040e+02 -3.005502689184169895e+01 1.194461708605498096e+01
2.680346469546032040e+02 -3.005502689184169895e+01 1.194461708605498096e+01
2.680346469546032040e+02 -3.005502689184169895e+01 1.194461708605498096e+01
2.680346469546032040e+02 -3.005502689184169895e+01 1.194461708605498096e+01
1.594004896996690412e+01 -7.183331381691924378e+01 7.588660902192684077e+00
1.594004896996690412e+01 -7.183331381691924378e+01 7.588660902192684077e+00
1.594004896996690412e+01 -7.183331381691924378e+01 7.588660902192684077e+00
1.594004896996690412e+01 -7.183331381691924378e+01 7.588660902192684077e+00
1.594004896996690412e+01 -7.183331381691924378e+01 7.588660902192684077e+00
1.809236790447124008e+02 -6.193079063145705021e+01 1.323504923211334017e+02
1.809236790447124008e+02 -6.193079063145705021e+01 1.323504923211334017e+02
1.809236790447124008e+02 -6.193079063145705021e+01 1.323504923211334017e+02
1.809236790447124008e+02 -6.193079063145705021e+01 1.323504923211334017e+02
1.809236790447124008e+02 -6.193079063145705021e+01 1.323504923211334017e+02
2.935844033713980252e+02 1.339404714339139524e+01 2.656015988815501316e+01
2.935844033713980252e+02 1.339404714339139524e+01 2.656015988815501316e+01
2.935844033713980252e+02 1.339404714339139524e+01 2.656015988815501316e+01
2.935844033713980252e+02 1.339404714339139524e+01 2.656015988815501316e+01
2.935844033713980252e+02 1.339404714339139524e+01 2.656015988815501316e+01
7.628139850022647295e+01 -6.623734144868838314e+01 1.078309840829395228e+01
7.628139850022647295e+01 -6.623734144868838314e+01 1.078309840829395228e+01
7.628139850022647295e+01 -6.623734144868838314e+01 1.078309840829395228e+01
7.628139850022647295e+01 -6.623734144868838314e+01 1.078309840829395228e+01
7.628139850022647295e+01 -6.623734144868838314e+01 1.078309840829395228e+01
8.120207427031360226e+01 -6.668877321389213364e+01 4.520438308426616203e+00
8.120207427031360226e+01 -6.668877321389213364e+01 4.520438308426616203e+00
8.120207427031360226e+01 -6.668877321389213364e+01 4.520438308426616203e+00
8.120207427031360226e+01 -6.668877321389213364e+01 4.520438308426616203e+00
8.120207427031360226e+01 -6.668877321389213364e+01 4.520438308426616203e+00
1.353201012658204263e+02 -4.787649108882457227e+01 9.098350671785626176e+00
1.353201012658204263e+02 -4.787649108882457227e+01 9.098350671785626176e+00
1.353201012658204263e+02 -4.787649108882457227e+01 9.098350671785626176e+00
1.353201012658204263e+02 -4.787649108882457227e+01 9.098350671785626176e+00
1.353201012658204263e+02 -4.787649108882457227e+01 9.098350671785626176e+00
8.392710920377797379e+01 -6.957014858446437700e+01 6.698408169090805941e+00
8.392710920377797379e+01 -6.957014858446437700e+01 6.698408169090805941e+00
8.392710920377797379e+01 -6.957014858446437700e+01 6.698408169090805941e+00
8.392710920377797379e+01 -6.957014858446437700e+01 6.698408169090805941e+00
8.392710920377797379e+01 -6.957014858446437700e+01 6.698408169090805941e+00
7.688032180072463007e+01 -7.062927750707024188e+01 1.295530405546892894e+01
7.688032180072463007e+01 -7.062927750707024188e+01 1.295530405546892894e+01
7.688032180072463007e+01 -7.062927750707024188e+01 1.295530405546892894e+01
7.688032180072463007e+01 -7.062927750707024188e+01 1.295530405546892894e+01
7.688032180072463007e+01 -7.062927750707024188e+01 1.295530405546892894e+01
2.396485242553590922e+02 -5.308093803646271880e+01 1.723599280341134232e+01
2.396485242553590922e+02 -5.308093803646271880e+01 1.723599280341134232e+01
2.396485242553590922e+02 -5.308093803646271880e+01 1.723599280341134232e+01
2.396485242553590922e+02 -5.308093803646271880e+01 1.723599280341134232e+01
2.396485242553590922e+02 -5.308093803646271880e+01 1.723599280341134232e+01
2.460967381574597255e+02 -4.717215056233625603e+01 2.349712654791201061e+01
2.460967381574597255e+02 -4.717215056233625603e+01 2.349712654791201061e+01
2.460967381574597255e+02 -4.717215056233625603e+01 2.349712654791201061e+01
2.460967381574597255e+02 -4.717215056233625603e+01 2.349712654791201061e+01
2.460967381574597255e+02 -4.717215056233625603e+01 2.349712654791201061e+01
3.012932476657748566e+02 3.246785213411283877e+01 3.130849976431709081e+01
3.012932476657748566e+02 3.246785213411283877e+01 3.130849976431709081e+01
3.012932476657748566e+02 3.246785213411283877e+01 3.130849976431709081e+01
3.012932476657748566e+02 3.246785213411283877e+01 3.130849976431709081e+01
3.012932476657748566e+02 3.246785213411283877e+01 3.130849976431709081e+01
2.908677298548003023e+02 1.501280563726790973e+01 7.414316317497619480e+01
2.908677298548003023e+02 1.501280563726790973e+01 7.414316317497619480e+01
2.908677298548003023e+02 1.501280563726790973e+01 7.414316317497619480e+01
2.908677298548003023e+02 1.501280563726790973e+01 7.414316317497619480e+01
2.908677298548003023e+02 1.501280563726790973e+01 7.414316317497619480e+01
7.627524472525199428e+01 -6.784526171872339262e+01 1.084923312575702425e+01
7.627524472525199428e+01 -6.784526171872339262e+01 1.084923312575702425e+01
7.627524472525199428e+01 -6.784526171872339262e+01 1.084923312575702425e+01
7.627524472525199428e+01 -6.784526171872339262e+01 1.084923312575702425e+01
7.627524472525199428e+01 -6.784526171872339262e+01 1.084923312575702425e+01
2.404593453727497092e+02 -5.295359042243494230e+01 7.210485113079632136e+00
