# t, hp, hx
1.067801113500000065e+00 -4.309342209700000037e-01 -3.181958128399999808e-01
1.067882688499999899e+00 -4.335850322400000012e-01 -3.199503120500000186e-01
1.067964262500000094e+00 -4.356468122300000134e-01 -3.204088002100000110e-01
1.068045680600000047e+00 -4.368783854100000141e-01 -3.180076219399999848e-01
1.068127252300000052e+00 -4.374311105300000002e-01 -3.135978991000000216e-01
1.068208822799999957e+00 -4.371531889099999901e-01 -3.094260425800000047e-01
1.068290392199999994e+00 -4.363214283399999838e-01 -3.071730425599999981e-01
1.068371960599999948e+00 -4.356919063399999903e-01 -3.080293678400000124e-01
1.068453528000000041e+00 -4.354366816399999895e-01 -3.114910137299999882e-01
1.068535094400000052e+00 -4.354497218799999736e-01 -3.153684749899999806e-01
1.068616659899999988e+00 -4.356143657600000108e-01 -3.179058463300000192e-01
1.068698224500000071e+00 -4.363935084300000211e-01 -3.180038659000000156e-01
1.068779788100000072e+00 -4.379532352300000153e-01 -3.160658012600000011e-01
1.068861350799999999e+00 -4.387597830500000184e-01 -3.135744016900000042e-01
1.068942912400000056e+00 -4.384250462900000089e-01 -3.108093862899999893e-01
1.069024468100000069e+00 -4.375270303900000157e-01 -3.081052302599999737e-01
1.069106027799999969e+00 -4.358262617299999975e-01 -3.076920156099999804e-01
1.069187586400000001e+00 -4.343075177199999803e-01 -3.108210720999999843e-01
1.069269143799999933e+00 -4.347279190100000190e-01 -3.158117141199999756e-01
1.069350700099999996e+00 -4.364963235500000094e-01 -3.204211655900000011e-01
1.069432255299999968e+00 -4.382107839700000174e-01 -3.234441505599999767e-01
1.069513809200000054e+00 -4.398742859900000024e-01 -3.236006166900000092e-01
1.069595362200000066e+00 -4.407435363600000211e-01 -3.204066091500000213e-01
1.069676914199999995e+00 -4.391841555300000088e-01 -3.150214729999999963e-01
1.069758465400000080e+00 -4.362748111699999987e-01 -3.094101224099999881e-01
1.069840015700000091e+00 -4.346256392200000263e-01 -3.062285334400000059e-01
1.069921565100000027e+00 -4.347261188700000112e-01 -3.063199627800000102e-01
1.070002446399999974e+00 -4.351567943699999885e-01 -3.098457466899999790e-01
1.070083993799999966e+00 -4.353252075199999793e-01 -3.159687887100000037e-01
1.070165540200000098e+00 -4.358395645900000059e-01 -3.227307061999999949e-01
1.070247085499999917e+00 -4.369953704999999800e-01 -3.279513065399999872e-01
1.070328629700000089e+00 -4.375620481599999945e-01 -3.285810662199999954e-01
1.070410172799999948e+00 -4.371598123900000132e-01 -3.239790402400000158e-01
1.070491714899999947e+00 -4.363444305599999962e-01 -3.171253430000000040e-01
1.070573255900000076e+00 -4.351725314900000141e-01 -3.113913648700000203e-01
1.070654795899999900e+00 -4.343774350799999850e-01 -3.083526743500000222e-01
1.070736334900000086e+00 -4.346240613599999802e-01 -3.089462815399999784e-01
1.070817873099999984e+00 -4.354651661400000262e-01 -3.137527808100000204e-01
1.070899410300000021e+00 -4.357972091799999781e-01 -3.213799016900000249e-01
1.070980946699999992e+00 -4.358686776999999846e-01 -3.281897188199999760e-01
1.071061966900000106e+00 -4.359202882900000131e-01 -3.311218887499999819e-01
1.071143501399999920e+00 -4.356441871999999771e-01 -3.286980209400000019e-01
